city,lat,long,temp,humidity,cloudiness,windspeed,country,date
attawapiskat,,,,,,,,
altay,47.8667,88.1167,59.79,43,65,4.85,CN,1621177304
sao filipe,14.8961,-24.4956,76.24,62,56,7.7,CV,1621177309
tsihombe,,,,,,,,
bud,39.447,-86.1758,62.33,72,75,3.44,US,1621177319
torbay,47.6666,-52.7314,43.09,81,90,21.85,CA,1621177324
barrow,71.2906,-156.7887,24.8,80,90,12.66,US,1621177330
kalmunai,7.4167,81.8167,84.13,73,84,3.98,LK,1621177335
cape town,-33.9258,18.4232,61.39,63,75,9.22,ZA,1621177340
den helder,52.9599,4.7593,55.15,82,75,10.36,NL,1621177346
brae,60.3964,-1.353,50,81,75,10.36,GB,1621177351
bolungarvik,,,,,,,,
homer,59.6425,-151.5483,37.49,93,40,5.91,US,1621177361
leningradskiy,69.3833,178.4167,27.91,94,100,7.65,RU,1621177366
mahebourg,-20.4081,57.7,78.01,70,17,5.99,MU,1621177372
urusha,54.05,122.9,42.28,66,72,6.15,RU,1621177377
tual,-5.6667,132.75,83.07,78,98,22.03,ID,1621177382
itarema,-2.9248,-39.9167,83.1,68,86,8.72,BR,1621177387
tasiilaq,65.6145,-37.6368,35.6,64,21,6.91,GL,1621177393
norman wells,65.282,-126.8329,41,65,75,16.11,CA,1621177398
tuatapere,-46.1333,167.6833,42.01,81,96,5.99,NZ,1621177403
barentsburg,,,,,,,,
marathon,44.9,-89.7668,59.38,63,20,6.91,US,1621177413
pevek,69.7008,170.3133,14.22,97,69,4.5,RU,1621177419
severo-kurilsk,50.6789,156.125,35.91,92,100,24.25,RU,1621177424
kodiak,57.79,-152.4072,37.4,93,90,3.44,US,1621177429
hasaki,35.7333,140.8333,69.93,100,75,9.22,JP,1621177435
sarangani,5.4033,125.4636,83.84,78,95,15.35,PH,1621177440
cap malheureux,-19.9842,57.6142,78.01,70,12,7,MU,1621177445
victoria,22.2855,114.1577,82.9,81,100,1.99,HK,1621177275
qostanay,53.1667,63.5833,86,17,75,17.9,KZ,1621177255
saint george,37.1041,-113.5841,72.73,15,1,14.97,US,1621177460
grindavik,63.8424,-22.4338,44.6,42,0,14.97,IS,1621177466
avarua,-21.2078,-159.775,75.2,78,20,5.75,CK,1621177471
inhambane,-23.865,35.3833,82.18,78,20,6.91,MZ,1621177476
san quintin,30.4833,-115.95,60.62,68,2,11.72,MX,1621177481
halalo,,,,,,,,
marcona,,,,,,,,
hervey bay,-25.2986,152.8535,55.99,77,31,3,AU,1621177497
west wendover,40.7391,-114.0733,60.8,44,1,6.17,US,1621177215
mar del plata,-38.0023,-57.5575,60.94,82,20,5.75,AR,1621177507
madison,34.7334,-86.5667,70.72,49,1,10.36,US,1621177512
port hedland,-20.3167,118.5667,64.4,72,0,6.91,AU,1621177518
ko samui,9.5357,99.9357,86.41,68,86,5.79,TH,1621177523
lavumisa,-27.31,31.892,86,37,0,12.66,SZ,1621177528
laguna,38.421,-121.4238,56.59,76,40,12.66,US,1621177533
ewa beach,21.3156,-158.0072,71.24,68,1,5.75,US,1621177539
umzimvubu,,,,,,,,
yarada,17.65,83.2667,86,84,20,5.75,IN,1621177549
astoria,46.1879,-123.8313,50.95,87,90,4.61,US,1621177554
shingu,33.7333,135.9833,73,94,100,3,JP,1621177560
coaldale,49.7167,-112.6185,57.29,47,75,8.05,CA,1621177565
west plains,36.7281,-91.8524,70.61,73,1,6.91,US,1621177570
lasa,46.6166,10.7002,59.7,76,40,4.61,IT,1621177575
calmar,53.2668,-113.8187,59,47,80,4.61,CA,1621177581
thongwa,16.7619,96.5278,86,70,40,6.91,MM,1621177586
faanui,-16.4833,-151.75,81.25,71,74,16.06,PF,1621177591
puerto penasco,31.3167,-113.5333,73,63,0,5.99,MX,1621177596
bandarbeyla,9.4942,50.8122,89.47,57,77,20.69,SO,1621177602
ponta do sol,32.6667,-17.1,73.38,50,20,23.02,PT,1621177607
belushya guba,,,,,,,,
sitka,57.0531,-135.33,42.8,81,90,8.05,US,1621177617
saldanha,-33.0117,17.9442,64.4,52,56,8.05,ZA,1621177622
morros,-9.4467,-46.3003,84.58,45,99,8.55,BR,1621177628
esso,55.9333,158.7,32.99,98,100,6.58,RU,1621177633
alofi,-19.0595,-169.9187,73.4,100,8,5.75,NU,1621177638
oshawa,43.9001,-78.8496,62.6,45,20,2.3,CA,1621177452
doka,13.5167,35.7667,98.11,20,32,9.75,SD,1621177649
east london,-33.0153,27.9116,62.6,67,20,16.11,ZA,1621177654
nanortalik,60.1432,-45.2371,37.51,73,85,3.71,GL,1621177659
harper,4.375,-7.7169,84.36,70,100,7.54,LR,1621177664
bambous virieux,-20.3428,57.7575,78.01,70,26,7,MU,1621177670
trojes,41.756,19.962,71.6,46,0,5.75,AL,1621177675
carballo,43.213,-8.691,61.34,64,80,10,ES,1621177452
vladivostok,43.1056,131.8735,51.8,82,100,6.69,RU,1621177434
lagoa,39.05,-27.9833,63.81,89,100,15.12,PT,1621177690
bethel,41.3712,-73.414,70.9,35,40,6.91,US,1621177695
kruisfontein,-34.0033,24.7314,61,59,1,7,ZA,1621177701
wasilla,61.5814,-149.4394,41.63,81,90,1.25,US,1621177690
pervomayskoye,43.919,46.7102,72.37,40,0,23.2,RU,1621177711
dingle,10.9995,122.6711,79.93,82,99,7.07,PH,1621177716
kiunga,-6.1219,141.2906,73.89,99,98,1.21,PG,1621177722
kyzyl-suu,42.3414,78.0056,45.41,47,94,5.19,KG,1621177727
manali,13.1667,80.2667,85.17,79,96,11.5,IN,1621177732
san patricio,28.017,-97.5169,78.03,78,40,10.36,US,1621177737
ribeira grande,38.5167,-28.7,66.2,94,75,16.11,PT,1621177743
shetpe,44.1667,52.1167,86.41,9,0,15.46,KZ,1621177748
awassa,7.05,38.4667,66.15,87,90,4.92,ET,1621177753
abu kamal,34.4506,40.9171,98.85,9,78,11.95,SY,1621177758
estevan,49.1334,-102.9842,65.75,39,1,8.05,CA,1621177745
kone,-21.0595,164.8658,70.84,88,41,4.92,NC,1621177769
kaeo,-35.1,173.7833,60.01,97,56,4,NZ,1621177774
vostok,46.4856,135.8833,46.15,77,100,4.52,RU,1621177779
chapais,49.7834,-74.8492,50,66,90,4.61,CA,1621177785
sulangan,11.1373,123.7228,84.31,76,100,13.4,PH,1621177790
coquimbo,-29.9533,-71.3436,59,82,0,5.75,CL,1621177539
noicattaro,41.0338,16.9896,72.41,47,99,9.15,IT,1621177800
baculin,7.4525,126.5842,79.32,82,54,6.33,PH,1621177805
mamakan,57.8161,114.0028,34.66,68,100,4.99,RU,1621177811
norrtalje,59.758,18.705,54.3,58,75,12.66,SE,1621177816
illoqqortoormiut,,,,,,,,
constitucion,-35.3333,-72.4167,60.1,55,72,3.33,CL,1621177817
sakakah,29.9697,40.2064,100.4,6,0,9.22,SA,1621177831
yakeshi,49.2833,120.7333,53.82,52,65,8.52,CN,1621177836
vila velha,-20.3297,-40.2925,77,69,75,4.61,BR,1621177580
jacareacanga,-6.2222,-57.7528,89.44,48,99,4.59,BR,1621177847
kenai,60.5544,-151.2583,38.43,93,90,4.09,US,1621177852
zheleznodorozhnyy,55.7503,38.0042,73.47,43,0,2.24,RU,1621177857
amderma,,,,,,,,
tubruq,,,,,,,,
todos santos,23.45,-110.2167,82.56,38,6,5.01,MX,1621177873
san cristobal,7.7669,-72.225,84.2,74,40,3.44,VE,1621177878
temiscaming,46.7212,-79.0971,64.4,34,82,2.3,CA,1621177883
wanning,18.8003,110.3967,81.37,91,10,7.49,CN,1621177888
kirakira,-10.4544,161.9205,80.74,82,35,7.31,SB,1621177894
saint-augustin,51.226,-58.6502,42.85,59,100,5.55,CA,1621177654
talnakh,69.4865,88.3972,21.61,96,100,5.1,RU,1621177904
tuktoyaktuk,69.4541,-133.0374,30.2,80,20,11.5,CA,1621177909
coihaique,-45.5752,-72.0662,41,87,75,6.91,CL,1621177915
santa rosa,14.3122,121.1114,85.32,66,20,10.36,PH,1621177920
mount isa,-20.7333,139.5,60.8,23,0,10.36,AU,1621177925
paamiut,61.994,-49.6678,37.36,53,14,8.93,GL,1621177930
baie-comeau,49.2168,-68.1489,51.8,62,75,8.05,CA,1621177936
cabo san lucas,22.8909,-109.9124,76.8,56,1,9.22,MX,1621177809
salur,18.5333,83.2167,86.2,66,5,6.08,IN,1621177946
basco,20.4487,121.9702,82.69,86,0,17.85,PH,1621177951
floro,61.5996,5.0328,50,87,75,12.66,NO,1621177956
esperance,-33.8667,121.9,55.4,67,99,10.36,AU,1621177962
darnah,32.767,22.6367,68.43,70,7,23.58,LY,1621177967
kazalinsk,,,,,,,,
portland,45.5234,-122.6762,54.97,76,1,3.44,US,1621177589
payson,40.0444,-111.7321,60.08,58,20,3.44,US,1621177880
fortuna,40.5982,-124.1573,47.62,100,90,3.02,US,1621177987
xanlar,40.5869,46.3158,80.6,21,20,9.22,AZ,1621177993
srednekolymsk,67.45,153.6833,24.35,94,15,4.59,RU,1621177998
chaa-khol,,,,,,,,
kaitangata,-46.2817,169.8464,41,77,75,4.83,NZ,1621178008
diphu,25.8333,93.4333,75.4,80,35,1.95,IN,1621178013
ust-nera,64.5667,143.2,38.84,75,95,4.79,RU,1621178019
huilong,31.8111,121.655,64.85,84,100,13.76,CN,1621178024
gat,31.61,34.7642,82.47,35,6,3,IL,1621177863
narsaq,60.9167,-46.05,50,14,20,6.91,GL,1621178034
vitoria,-20.3194,-40.3378,77,69,75,4.61,BR,1621178040
santarem,-2.4431,-54.7083,82.4,78,40,9.22,BR,1621177981
cockburn town,21.4612,-71.1419,79.72,76,12,10.29,TC,1621177899
mocuba,-16.8392,36.9856,75.83,63,3,3.67,MZ,1621178055
zhangye,38.9342,100.4517,59.72,37,100,7,CN,1621178060
berlevag,70.8578,29.0864,34.68,93,75,11.5,NO,1621178066
rajsamand,25.0667,73.8833,86.52,41,98,6.62,IN,1621178071
namatanai,-3.6667,152.4333,79.61,80,100,8.9,PG,1621178076
hirara,24.8,125.2833,79.74,91,95,16.73,JP,1621178081
monrovia,6.3005,-10.7969,86,79,75,9.22,LR,1621178034
lavrentiya,65.5833,-171,25.79,87,37,6.22,RU,1621178092
mansalay,12.5167,121.4,79.39,80,67,8.14,PH,1621178097
ardahan,41.1087,42.7022,59.68,67,76,4.99,TR,1621178102
ongole,15.5,80.05,86.47,76,53,16.49,IN,1621178109
hami,42.8,93.45,74.35,19,100,9.1,CN,1621178114
punuare,14.7333,-85.9667,86,48,75,4.38,HN,1621178120
aklavik,68.2191,-135.0107,32,93,75,5.75,CA,1621178125
torit,4.4133,32.5678,83.82,64,32,3.53,SS,1621178130
ngukurr,,,,,,,,
hamilton,39.1834,-84.5333,64.38,52,90,6.91,US,1621178139
jalu,29.0331,21.5482,88.86,12,4,16.82,LY,1621178145
atar,20.5169,-13.0499,101.79,9,72,5.82,MR,1621178151
padang,-0.9492,100.3543,75.2,100,75,5.75,ID,1621178156
dongkan,33.9997,119.8308,55.92,68,100,8.52,CN,1621178161
te anau,-45.4167,167.7167,40.87,88,86,4.27,NZ,1621178167
jining,35.405,116.5814,57.6,57,100,6.04,CN,1621178172
kitimat,54.0524,-128.6534,50,96,100,1.99,CA,1621178118
luena,-11.7833,19.9167,82.4,34,0,3.8,AO,1621178182
ravar,31.2656,56.8055,81.77,12,64,11.97,IR,1621178187
fairbanks,64.8378,-147.7164,43.57,87,90,4.61,US,1621178105
turmalina,-17.2856,-42.73,78.44,45,98,2.86,BR,1621178198
saleaula,,,,,,,,
upernavik,72.7868,-56.1549,32.09,93,100,9.31,GL,1621178208
tuy hoa,13.0833,109.3,81.09,89,24,2.26,VN,1621178213
mirador,-6.3708,-44.3631,86.88,51,97,8.08,BR,1621178219
coahuayana,18.7333,-103.6833,80.6,65,1,2.1,MX,1621178224
arman,59.7,150.1667,35.35,86,100,21.74,RU,1621178229
bathurst,-33.4166,149.5806,30.99,91,2,3.74,AU,1621178234
goderich,43.7501,-81.7165,55.4,58,94,6.91,CA,1621178240
grand gaube,-20.0064,57.6608,78.01,70,16,8.01,MU,1621178245
xingyi,24.1877,102.817,69.75,47,57,3.29,CN,1621178250
poum,-20.2333,164.0167,76.8,76,36,19.33,NC,1621178255
kilimatinde,-5.85,34.95,79,45,58,3.87,TZ,1621178261
garza garcia,25.6667,-100.4,69.71,83,90,3.76,MX,1621178266
mubi,10.2676,13.2644,93.34,31,100,6.08,NG,1621178271
pueblo,38.2545,-104.6091,60.26,72,1,4.61,US,1621178223
bekhtery,46.251,32.2927,66.2,77,75,11.18,UA,1621178282
medea,36.2642,2.7539,82.4,32,0,5.75,DZ,1621178287
yellowknife,62.456,-114.3525,28.87,74,75,10.36,CA,1621178292
divnomorskoye,44.5011,38.1353,75.24,75,23,2.95,RU,1621178297
maun,-19.9833,23.4167,84.2,23,0,4.61,BW,1621178303
ossora,59.2353,163.0719,31.1,94,100,4.74,RU,1621178308
cidreira,-30.1811,-50.2056,67.1,69,50,2.24,BR,1621178313
dikson,73.5069,80.5464,26.29,76,100,14.14,RU,1621178318
loukhi,66.0764,33.0381,45.5,81,100,3.94,RU,1621178324
lucapa,-8.4192,20.7447,84.6,41,28,3.87,AO,1621178329
pirapemas,-3.7267,-44.2233,86.72,58,92,4.79,BR,1621178334
ahuimanu,21.4447,-157.8378,71.56,73,90,12.66,US,1621178339
samarai,-10.6167,150.6667,80.96,82,99,7.05,PG,1621178345
opotiki,-38.0833,177.2833,55,99,100,4.38,NZ,1621178350
zachagansk,,,,,,,,
paraiso,9.8383,-83.8656,70.7,68,0,4.52,CR,1621178360
bathsheba,13.2167,-59.5167,86,54,75,21.85,BB,1621178366
santa ana,33.7456,-117.8678,57.54,82,90,5.75,US,1621178371
seymchan,62.8833,152.4333,34.47,88,100,4.21,RU,1621178376
at-bashi,41.1702,75.8106,48.88,35,6,2.71,KG,1621178381
yurimaguas,-5.9,-76.0833,78.8,89,40,1.01,PE,1621178387
reconquista,-29.15,-59.65,71.01,58,17,2.59,AR,1621178392
litovko,49.2361,135.1742,50.58,69,0,6.6,RU,1621178397
sur,22.5667,59.5289,87.71,54,26,3.27,OM,1621178403
shcholkine,,,,,,,,
hofn,64.2539,-15.2082,42.8,45,75,25.32,IS,1621178414
ahipara,-35.1667,173.1667,60.17,93,56,6.44,NZ,1621178419
moerai,-22.4333,-151.3333,76.86,76,99,14.5,PF,1621178424
port augusta,-32.5,137.7667,42.94,93,40,6.91,AU,1621178429
umm lajj,25.0213,37.2685,84.58,53,0,6.24,SA,1621178435
zhicheng,30.2956,111.5047,61,90,100,2.71,CN,1621178440
qui nhon,13.7667,109.2333,82.26,88,20,1.45,VN,1621178445
otukpo,7.1913,8.1329,88.11,56,88,5.97,NG,1621178451
palabuhanratu,,,,,,,,
itum-kale,42.7356,45.5758,73.44,42,2,6.82,RU,1621178461
surt,31.2089,16.5887,72.64,43,0,11.14,LY,1621178466
college,64.8569,-147.8028,43.32,76,75,3.44,US,1621178413
arosa,46.7779,9.6762,49.59,76,90,18.41,CH,1621178476
geraldton,-28.7667,114.6,64.4,68,99,10.36,AU,1621178482
kosonsoy,41.2561,71.5508,75.2,33,28,4.61,UZ,1621178487
mutsamudu,,,,,,,,
gornopravdinsk,60.05,69.9,63.68,65,58,3.49,RU,1621178497
bowen,-20.0167,148.2333,53.6,94,0,6.91,AU,1621178503
adrar,20.5022,-10.0711,103.86,9,42,5.32,MR,1621178508
sorong,-0.8833,131.25,79.34,86,100,5.35,ID,1621178513
atasu,48.6814,71.6433,67.21,53,61,4.03,KZ,1621178518
la palma,33.8464,-118.0467,58.1,100,90,5.84,US,1621178524
svetlyy,54.675,20.1347,61.12,63,75,13.42,RU,1621178529
laki,41.85,24.8167,62.6,77,40,6.91,BG,1621178534
carnarvon,-24.8667,113.6333,68,94,97,5.48,AU,1621178539
vestmannaeyjar,63.4427,-20.2734,42.8,61,75,6.91,IS,1621178545
kanniyakumari,8.0833,77.5667,81.86,77,100,15.46,IN,1621178362
aksha,50.2814,113.2867,50.92,57,63,3.76,RU,1621178555
flin flon,54.7682,-101.865,51.8,66,40,16.11,CA,1621178560
zhigansk,66.7697,123.3711,43.84,80,100,3.53,RU,1621178565
keti bandar,24.1447,67.4497,88.95,60,100,12.37,PK,1621178571
san gavino monreale,39.5514,8.7917,85.42,23,0,11.5,IT,1621178576
kalmar,56.6616,16.3616,51.8,94,90,5.75,SE,1621178581
yar-sale,66.8333,70.8333,27.16,85,15,8.41,RU,1621178586
manakara,-22.1333,48.0167,74.35,79,1,7.9,MG,1621178592
moose factory,51.2585,-80.6094,41,81,20,3.44,CA,1621178597
kapit,2.0167,112.9333,75.69,98,100,0.27,MY,1621178602
soyo,-6.1349,12.3689,86,70,20,8.05,AO,1621178607
tolga,34.7222,5.3785,93.2,18,0,3.44,DZ,1621178613
bloomington,44.8408,-93.2983,59.36,82,90,6.91,US,1621178322
gurskoye,,,,,,,,
coolum beach,-26.5333,153.1,49.57,92,2,1.01,AU,1621178628
pangody,65.85,74.4859,43.47,47,88,5.03,RU,1621178633
awbari,26.5921,12.7805,99.48,9,0,10.36,LY,1621178639
cimarron hills,38.8586,-104.6989,59.05,67,40,9.22,US,1621178644
puerto narino,-3.7703,-70.3831,84.2,79,75,5.75,CO,1621178649
yabrud,33.9674,36.6574,78.98,12,0,20.71,SY,1621178654
frutal,-20.0247,-48.9406,85.26,32,44,4.27,BR,1621178660
minot,48.2325,-101.2963,72.64,27,1,8.05,US,1621178665
manama,26.2154,50.5832,95,26,0,2.3,BH,1621178670
urucara,-2.5364,-57.76,82.89,76,79,6.38,BR,1621178675
gurgan,,,,,,,,
polunochnoye,60.8697,60.4153,73.24,49,42,6.44,RU,1621178686
walvis bay,-22.9575,14.5053,75.2,46,0,13.8,NA,1621178691
san joaquin,37.9333,-121.3011,57.72,82,75,5.75,US,1621178696
ayr,55.4627,-4.6339,57.2,58,40,8.05,GB,1621178702
nampula,-15.1165,39.2666,79.39,61,40,6.91,MZ,1621178707
bonthe,7.5264,-12.505,88.11,62,48,11.16,SL,1621178712
shawnee,39.05,-95.7669,59.2,96,100,1.01,US,1621178717
simao,22.7886,100.9748,69.73,54,74,1.72,CN,1621178723
codrington,-38.2667,141.9667,54.45,81,100,16.11,AU,1621178728
sergeyevka,53.88,67.4158,79.2,33,52,7.49,KZ,1621178733
pisco,-13.7,-76.2167,64.65,88,90,5.75,PE,1621178738
lakatoro,-16.0999,167.4164,79.66,84,14,6.82,VU,1621178744
kushiro,42.975,144.3747,46.31,99,100,8.21,JP,1621178749
bilma,18.6853,12.9164,108.46,5,0,3.31,NE,1621178754
kushima,31.4583,131.2333,73,100,100,8.01,JP,1621178759
ankazobe,-18.3167,47.1167,62.6,82,20,8.05,MG,1621178765
aguilas,37.4063,-1.5829,88.12,21,0,5.99,ES,1621178770
solnechnyy,50.7214,136.6319,43.79,73,20,4.12,RU,1621178775
ruatoria,,,,,,,,
mana,5.6592,-53.7767,81.41,82,100,7.61,GF,1621178786
saint-pierre,-21.3393,55.4781,74.1,73,0,2.3,RE,1621178791
alice springs,-23.7,133.8833,42.8,56,0,3.44,AU,1621178796
wanaka,-44.7,169.15,37.65,82,42,4.38,NZ,1621178801
biscarrosse,44.3945,-1.1672,60.8,67,90,16.11,FR,1621178807
matara,5.9485,80.5353,80.64,86,79,7.45,LK,1621178812
hunza,,,,,,,,
vardo,70.3705,31.1107,34.7,93,75,18.41,NO,1621178823
shahpur,16.7,76.8333,78.19,78,100,11.36,IN,1621178828
barawe,,,,,,,,
sayat,38.7839,63.8803,86,14,0,11.5,TM,1621178838
