City,lat,long,temp,humidity,cloudiness,windspeed,country,ong
puerto ayora,-0.7393,-90.3518,80.4,61.0,40.0,13.8,,-90.3518
avarua,-21.2078,-159.775,80.6,74.0,75.0,10.36,,-159.775
georgetown,5.4112,100.3354,80.69,89.0,20.0,3.15,,100.3354
arraial do cabo,-22.9661,-42.0278,72.36,73.0,0.0,3.44,,-42.0278
crab hill,,,,,,,,
chulman,56.8479,124.9104,36.01,73.0,4.0,1.57,,124.9104
puerto ayacucho,5.6639,-67.6236,86.04,70.0,59.0,1.7,,-67.6236
kahului,20.8947,-156.47,73.8,53.0,40.0,19.57,,-156.47
marcona,,,,,,,,
simao,22.7886,100.9748,62.58,81.0,5.0,1.68,,100.9748
jalu,29.0331,21.5482,78.04,26.0,51.0,17.07,,21.5482
hostotipaquillo,21.0667,-104.0667,90.0,36.0,23.0,14.0,,-104.0667
grand gaube,-20.0064,57.6608,77.0,68.0,23.0,8.01,,57.6608
turayf,31.6725,38.6637,80.6,21.0,0.0,10.36,,38.6637
zyryanka,65.75,150.85,38.14,65.0,15.0,8.46,,150.85
lodja,-3.4833,23.4333,76.3,71.0,69.0,0.58,,23.4333
thompson,55.7435,-97.8558,37.4,75.0,75.0,4.61,,-97.8558
bluff,-46.6,168.3333,37.99,94.0,62.0,1.01,,168.3333
shahr-e babak,30.1165,55.1186,63.66,36.0,60.0,4.07,,55.1186
jamestown,42.097,-79.2353,64.74,27.0,75.0,8.05,,-79.2353
tieli,46.95,128.05,46.11,77.0,61.0,6.4,,128.05
souillac,-20.5167,57.5167,77.0,78.0,40.0,13.8,,57.5167
santa cruz,-17.8,-63.1667,81.41,46.0,24.0,7.09,,-63.1667
udachnyy,66.4167,112.4,26.8,93.0,100.0,26.64,,112.4
saint george,37.1041,-113.5841,90.99,7.0,1.0,23.02,,-113.5841
mahibadhoo,3.7833,72.9667,84.87,72.0,99.0,21.36,,72.9667
trairi,-3.2778,-39.2689,76.59,86.0,97.0,6.08,,-39.2689
olga,43.7444,135.2892,55.24,71.0,100.0,5.01,,135.2892
nikolskoye,59.7035,30.7861,55.36,77.0,90.0,2.24,,30.7861
victoria,22.2855,114.1577,81.25,83.0,47.0,1.01,,114.1577
uyskoye,54.3775,60.0047,62.44,58.0,25.0,5.46,,60.0047
longyearbyen,78.2186,15.6401,21.2,63.0,40.0,9.22,,15.6401
nanortalik,60.1432,-45.2371,37.4,77.0,27.0,5.61,,-45.2371
mys shmidta,,,,,,,,
esperance,-33.8667,121.9,50.0,87.0,90.0,10.36,,121.9
sassandra,4.95,-6.0833,79.77,82.0,93.0,6.04,,-6.0833
inhambane,-23.865,35.3833,71.49,85.0,0.0,10.31,,35.3833
palencia,42.4167,-4.5,60.98,78.0,100.0,15.99,,-4.5
yakeshi,49.2833,120.7333,42.78,51.0,0.0,7.07,,120.7333
new norfolk,-42.7826,147.0587,48.99,59.0,100.0,5.99,,147.0587
cherskiy,68.75,161.3,34.0,89.0,100.0,5.75,,161.3
gumdag,39.2061,54.5906,79.47,19.0,0.0,9.24,,54.5906
porto novo,6.4965,2.6036,77.0,88.0,75.0,9.22,,2.6036
tuktoyaktuk,69.4541,-133.0374,35.6,80.0,75.0,11.5,,-133.0374
ushuaia,-54.8,-68.3,44.6,65.0,20.0,5.75,,-68.3
liwale,-9.7667,37.9333,66.97,77.0,97.0,3.31,,37.9333
vaini,-21.2,-175.2,78.8,89.0,40.0,6.91,,-175.2
caconda,-13.7333,15.0667,59.61,55.0,57.0,2.37,,15.0667
cape town,-33.9258,18.4232,57.87,88.0,20.0,13.8,,18.4232
barentsburg,,,,,,,,
port pirie,-33.1833,138.0167,55.4,76.0,90.0,6.91,,138.0167
kamaishi,39.2667,141.8833,58.91,87.0,100.0,10.63,,141.8833
ponta do sol,32.6667,-17.1,61.43,95.0,0.0,4.94,,-17.1
sumbawa,,,,,,,,
chagda,,,,,,,,
tabursuq,36.4569,9.2475,69.8,43.0,20.0,2.3,,9.2475
kalabo,-14.97,22.6814,63.81,44.0,33.0,2.04,,22.6814
severo-kurilsk,50.6789,156.125,41.31,70.0,100.0,10.04,,156.125
amderma,,,,,,,,
acarau,-2.8856,-40.12,78.84,81.0,100.0,8.68,,-40.12
muros,42.7762,-9.0603,61.05,94.0,100.0,3.0,,-9.0603
tabou,4.423,-7.3528,80.11,80.0,100.0,5.84,,-7.3528
chadiza,-14.0678,32.4392,59.43,63.0,0.0,2.68,,32.4392
tasiilaq,65.6145,-37.6368,30.2,74.0,12.0,3.44,,-37.6368
yellowknife,62.456,-114.3525,32.38,86.0,90.0,12.66,,-114.3525
khatanga,71.9667,102.5,7.48,97.0,74.0,6.08,,102.5
namatanai,-3.6667,152.4333,81.84,77.0,17.0,9.57,,152.4333
torbay,47.6666,-52.7314,43.25,87.0,75.0,4.61,,-52.7314
hithadhoo,-0.6,73.0833,83.93,73.0,100.0,18.48,,73.0833
san juan,-31.5375,-68.5364,37.0,33.0,63.0,35.99,,-68.5364
cabo san lucas,22.8909,-109.9124,89.56,35.0,20.0,11.5,,-109.9124
castro,-24.7911,-50.0119,56.93,75.0,0.0,2.21,,-50.0119
fukue,32.6881,128.8419,71.6,96.0,100.0,15.59,,128.8419
bangassou,4.7413,22.8184,68.47,98.0,100.0,2.51,,22.8184
tiksi,71.6872,128.8694,32.77,95.0,99.0,6.49,,128.8694
cabedelo,-6.9811,-34.8339,78.8,83.0,20.0,12.66,,-34.8339
lebu,-37.6167,-73.65,55.49,78.0,0.0,11.03,,-73.65
hamilton,39.1834,-84.5333,71.82,23.0,1.0,6.91,,-84.5333
cayenne,4.9333,-52.3333,77.58,94.0,90.0,5.75,,-52.3333
qaanaaq,77.484,-69.3632,33.58,77.0,92.0,7.25,,-69.3632
half moon bay,37.4636,-122.4286,57.18,100.0,90.0,5.75,,-122.4286
chokurdakh,70.6333,147.9167,29.21,90.0,100.0,8.9,,147.9167
port hardy,50.6996,-127.4199,51.1,82.0,75.0,5.75,,-127.4199
tsihombe,,,,,,,,
phek,25.6667,94.5,51.66,97.0,17.0,1.79,,94.5
birao,10.2849,22.7882,79.52,59.0,100.0,5.08,,22.7882
ada,43.4166,-116.1262,72.59,27.0,1.0,5.75,,-116.1262
angoche,-16.2325,39.9086,74.19,79.0,91.0,2.98,,39.9086
port alfred,-33.5906,26.891,63.95,83.0,89.0,6.31,,26.891
karratha,-20.7377,116.8463,69.87,36.0,0.0,13.51,,116.8463
natal,-5.795,-35.2094,79.7,78.0,20.0,12.66,,-35.2094
alyangula,-13.8483,136.4192,60.8,100.0,24.0,2.3,,136.4192
amahai,-3.3333,128.9167,82.99,95.0,98.0,3.02,,128.9167
taolanaro,,,,,,,,
constitucion,-35.3333,-72.4167,59.13,75.0,73.0,11.77,,-72.4167
dunedin,-45.8742,170.5036,48.0,86.0,100.0,7.0,,170.5036
bardiyah,31.7561,25.0865,70.02,72.0,1.0,4.76,,25.0865
ambulu,-8.345,113.6058,73.63,90.0,9.0,3.87,,113.6058
ola,59.5833,151.2833,35.55,97.0,100.0,2.06,,151.2833
buraydah,26.326,43.975,87.8,16.0,0.0,4.61,,43.975
takhtamygda,54.1,123.5667,39.24,72.0,0.0,2.91,,123.5667
takoradi,4.8845,-1.7554,80.67,81.0,75.0,7.76,,-1.7554
gat,31.61,34.7642,66.33,82.0,0.0,5.01,,34.7642
nemuro,43.3236,145.575,43.43,91.0,100.0,21.0,,145.575
yar-sale,66.8333,70.8333,19.71,90.0,90.0,7.36,,70.8333
sentyabrskiy,,,,,,,,
kang,-23.6752,22.7876,61.21,35.0,0.0,5.55,,22.7876
puerto escondido,15.85,-97.0667,89.6,70.0,40.0,11.5,,-97.0667
portland,45.5234,-122.6762,73.4,38.0,20.0,5.75,,-122.6762
garowe,8.4054,48.4845,86.68,42.0,60.0,19.53,,48.4845
kodiak,57.79,-152.4072,46.4,76.0,90.0,9.22,,-152.4072
ayan,56.45,138.1667,32.11,97.0,100.0,36.24,,138.1667
formoso do araguaia,,,,,,,,
port lincoln,-34.7333,135.8667,56.23,65.0,99.0,5.57,,135.8667
kapaa,22.0752,-159.319,77.14,65.0,20.0,18.41,,-159.319
lagoa,39.05,-27.9833,63.34,93.0,79.0,18.86,,-27.9833
makueni,-1.8041,37.6203,66.4,73.0,87.0,2.24,,37.6203
naze,28.3667,129.4833,72.61,92.0,68.0,10.51,,129.4833
biltine,14.5333,20.9167,87.96,5.0,0.0,11.88,,20.9167
laguna,38.421,-121.4238,71.85,46.0,1.0,10.36,,-121.4238
baykit,61.67,96.37,25.57,81.0,42.0,7.96,,96.37
faya,18.3851,42.4509,68.86,56.0,0.0,4.79,,42.4509
huarmey,-10.0681,-78.1522,70.07,72.0,4.0,10.04,,-78.1522
hobart,-42.8794,147.3294,48.78,62.0,75.0,9.22,,147.3294
provideniya,64.3833,-173.3,44.08,52.0,36.0,2.84,,-173.3
east london,-33.0153,27.9116,65.64,80.0,94.0,4.43,,27.9116
campina grande do sul,-25.3056,-49.0553,56.32,99.0,54.0,3.06,,-49.0553
ayabaca,-4.6398,-79.7149,52.52,88.0,100.0,2.55,,-79.7149
clyde river,70.4692,-68.5914,21.2,68.0,1.0,8.05,,-68.5914
belushya guba,,,,,,,,
boende,-0.2167,20.8667,71.76,98.0,100.0,3.36,,20.8667
warqla,,,,,,,,
tocopilla,-22.092,-70.1979,69.82,74.0,22.0,11.1,,-70.1979
vila velha,-20.3297,-40.2925,73.71,68.0,0.0,4.61,,-40.2925
ganta,7.3022,-8.5308,71.87,97.0,100.0,1.54,,-8.5308
port said,31.2565,32.2841,71.6,83.0,0.0,9.22,,32.2841
warrnambool,-38.3833,142.4833,46.99,94.0,100.0,14.81,,142.4833
rio grande,-32.035,-52.0986,62.6,55.0,0.0,3.44,,-52.0986
knyaze-volkonskoye,48.4642,135.4567,53.6,58.0,0.0,24.61,,135.4567
bara,10.3744,10.7288,85.62,53.0,99.0,7.43,,10.7288
caraballeda,10.6112,-66.8522,83.44,70.0,20.0,5.75,,-66.8522
qaqortoq,60.7167,-46.0333,51.8,22.0,11.0,9.22,,-46.0333
bacolod,10.6667,122.95,79.83,79.0,83.0,6.73,,122.95
villacarrillo,38.1156,-3.0848,72.0,38.0,100.0,0.25,,-3.0848
pangody,65.85,74.4859,29.64,58.0,94.0,9.53,,74.4859
dingle,10.9995,122.6711,77.23,90.0,96.0,6.78,,122.6711
abu kamal,34.4506,40.9171,85.8,15.0,0.0,8.72,,40.9171
nguiu,,,,,,,,
meulaboh,4.1363,96.1285,77.5,89.0,98.0,3.91,,96.1285
riyadh,24.6877,46.7219,92.52,12.0,0.0,6.91,,46.7219
klaksvik,62.2266,-6.589,42.8,87.0,75.0,16.11,,-6.589
lovozero,68.005,35.0117,33.3,95.0,100.0,5.75,,35.0117
segezha,63.7415,34.3222,42.04,94.0,57.0,7.63,,34.3222
bredasdorp,-34.5322,20.0403,57.2,94.0,100.0,4.61,,20.0403
mahebourg,-20.4081,57.7,77.0,78.0,40.0,13.8,,57.7
erenhot,43.6475,111.9767,49.69,20.0,67.0,7.43,,111.9767
fort saint john,,,,,,,,
carolina,18.3808,-65.9574,85.68,51.0,40.0,13.8,,-65.9574
gravdal,68.1214,13.5031,44.47,83.0,100.0,11.18,,13.5031
qasigiannguit,68.8193,-51.1922,35.6,75.0,20.0,8.05,,-51.1922
norman wells,65.282,-126.8329,44.6,61.0,75.0,17.27,,-126.8329
misratah,32.3754,15.0925,65.75,63.0,2.0,13.78,,15.0925
dzhusaly,,,,,,,,
faanui,-16.4833,-151.75,81.01,74.0,100.0,17.4,,-151.75
salalah,17.0151,54.0924,84.2,84.0,40.0,5.75,,54.0924
yabrud,33.9674,36.6574,61.52,59.0,0.0,23.02,,36.6574
general roca,-39.0333,-67.5833,57.2,72.0,0.0,2.15,,-67.5833
lolua,,,,,,,,
fortuna,40.5982,-124.1573,56.48,87.0,90.0,12.66,,-124.1573
nador,35.174,-2.9287,68.18,60.0,0.0,2.98,,-2.9287
usva,,,,,,,,
tulsipur,28.131,82.2973,80.01,54.0,68.0,5.01,,82.2973
sisimiut,66.9395,-53.6735,35.51,85.0,100.0,6.06,,-53.6735
attawapiskat,,,,,,,,
sumenep,-7.0167,113.8667,79.43,80.0,21.0,10.18,,113.8667
port shepstone,-30.7414,30.455,70.2,41.0,0.0,5.59,,30.455
tumannyy,,,,,,,,
los llanos de aridane,28.6585,-17.9182,64.35,77.0,20.0,17.27,,-17.9182
tongliao,43.6125,122.2653,57.0,36.0,100.0,7.81,,122.2653
chuy,-33.6971,-53.4616,55.67,70.0,100.0,4.07,,-53.4616
kieta,-6.2167,155.6333,81.79,81.0,100.0,4.74,,155.6333
miastko,54.0028,16.9826,52.0,85.0,100.0,5.99,,16.9826
narrabri,-30.3167,149.7833,34.9,86.0,0.0,4.61,,149.7833
puerto carreno,6.189,-67.4859,90.39,53.0,94.0,1.86,,-67.4859
port moresby,-9.4431,147.1797,77.0,94.0,40.0,3.44,,147.1797
kaniama,-7.5667,24.1833,73.63,65.0,100.0,2.95,,24.1833
amapa,1.0,-52.0,73.08,98.0,100.0,2.48,,-52.0
louisbourg,,,,,,,,
coquimbo,-29.9533,-71.3436,59.0,82.0,90.0,5.37,,-71.3436
flinders,-34.5833,150.8552,45.0,69.0,6.0,5.01,,150.8552
sao joao da barra,-21.6403,-41.0511,73.4,83.0,0.0,4.61,,-41.0511
aklavik,68.2191,-135.0107,44.6,61.0,40.0,12.66,,-135.0107
anamur,36.0751,32.8369,64.4,94.0,0.0,3.44,,32.8369
wajima,37.4,136.9,62.44,85.0,100.0,9.33,,136.9
san patricio,28.017,-97.5169,79.93,78.0,90.0,19.57,,-97.5169
tezu,27.9167,96.1667,69.55,68.0,88.0,3.31,,96.1667
santa maria,-29.6842,-53.8069,69.8,60.0,0.0,4.61,,-53.8069
zhangjiakou,40.81,114.8794,48.56,63.0,100.0,5.55,,114.8794
tullow,52.8003,-6.7369,49.66,93.0,100.0,1.99,,-6.7369
mullaitivu,,,,,,,,
luderitz,-26.6481,15.1594,62.33,90.0,16.0,4.12,,15.1594
omboue,-1.5746,9.2618,78.08,89.0,75.0,6.17,,9.2618
ust-nera,64.5667,143.2,42.12,77.0,88.0,4.12,,143.2
sabha,27.0377,14.4283,85.57,14.0,86.0,11.56,,14.4283
kununurra,-15.7667,128.7333,71.6,33.0,3.0,11.5,,128.7333
san carlos de bariloche,-41.1456,-71.3082,55.4,44.0,0.0,5.75,,-71.3082
virginia beach,36.8529,-75.978,69.6,26.0,20.0,10.36,,-75.978
pisco,-13.7,-76.2167,65.5,88.0,75.0,9.22,,-76.2167
santa cruz de la palma,28.6835,-17.7642,65.19,77.0,20.0,17.27,,-17.7642
samusu,,,,,,,,
namibe,-15.1961,12.1522,74.84,58.0,0.0,3.83,,12.1522
isangel,-19.55,169.2667,78.94,80.0,72.0,6.8,,169.2667
iqaluit,63.7506,-68.5145,28.2,64.0,20.0,12.66,,-68.5145
tadine,-21.55,167.8833,77.38,84.0,99.0,11.52,,167.8833
makung,,,,,,,,
geraldton,-28.7667,114.6,64.4,48.0,5.0,10.36,,114.6
sobolevo,54.4299,31.8996,52.79,96.0,96.0,8.59,,31.8996
vavatenina,-17.4667,49.2,67.87,98.0,66.0,2.73,,49.2
camacha,33.0833,-16.3333,66.2,77.0,75.0,11.5,,-16.3333
port elizabeth,-33.918,25.5701,60.01,89.0,100.0,3.0,,25.5701
praia da vitoria,38.7333,-27.0667,70.25,68.0,20.0,9.06,,-27.0667
maloshuyka,,,,,,,,
iquitos,-3.7481,-73.2472,82.4,74.0,75.0,3.44,,-73.2472
hyvinkaa,60.6333,24.8667,54.37,82.0,0.0,3.44,,24.8667
alofi,-19.0595,-169.9187,80.6,89.0,75.0,6.91,,-169.9187
benicarlo,40.4165,0.4271,67.33,57.0,96.0,4.0,,0.4271
roald,62.5833,6.1333,51.37,87.0,0.0,3.44,,6.1333
westport,41.1415,-73.3579,71.37,28.0,1.0,13.8,,-73.3579
sitka,57.0531,-135.33,46.4,87.0,90.0,12.66,,-135.33
vaitupu,,,,,,,,
fairbanks,64.8378,-147.7164,60.51,31.0,1.0,9.22,,-147.7164
guamuchil,25.4667,-108.1,96.01,42.0,73.0,10.0,,-108.1
lerdo,25.5333,-103.5333,90.19,25.0,75.0,2.57,,-103.5333
guthrie,35.8789,-97.4253,78.35,61.0,40.0,12.66,,-97.4253
pevek,69.7008,170.3133,27.36,90.0,92.0,2.42,,170.3133
purmerend,52.505,4.9597,51.3,93.0,94.0,4.97,,4.9597
bengkulu,-3.8004,102.2655,76.1,90.0,74.0,4.34,,102.2655
bogorodskoye,56.55,37.8833,53.91,94.0,32.0,6.31,,37.8833
asau,46.4333,26.4,54.0,64.0,44.0,1.81,,26.4
raudeberg,61.9875,5.1352,52.2,76.0,90.0,10.2,,5.1352
sao filipe,14.8961,-24.4956,74.35,70.0,42.0,13.22,,-24.4956
sola,-13.8833,167.55,81.48,75.0,96.0,9.17,,167.55
wattegama,6.7989,81.4808,76.68,87.0,100.0,1.99,,81.4808
kruisfontein,-34.0033,24.7314,60.01,89.0,100.0,3.0,,24.7314
vestmannaeyjar,63.4427,-20.2734,41.38,61.0,49.0,6.08,,-20.2734
la ronge,55.1001,-105.2842,58.1,54.0,100.0,11.5,,-105.2842
high prairie,55.4334,-116.4858,64.4,29.0,100.0,13.8,,-116.4858
buzmeyin,38.0507,58.2056,69.8,32.0,0.0,2.3,,58.2056
ishigaki,24.3448,124.1572,80.55,90.0,0.0,20.51,,124.1572
falealupo,,,,,,,,
whitehorse,60.7161,-135.0538,45.84,71.0,75.0,13.8,,-135.0538
sherlovaya gora,50.5667,116.25,41.54,47.0,0.0,10.25,,116.25
sekoma,-24.4,23.8833,63.59,27.0,0.0,6.49,,23.8833
vanimo,-2.6741,141.3028,78.4,88.0,100.0,4.14,,141.3028
katsuura,35.1333,140.3,65.16,81.0,81.0,1.99,,140.3
ankazoabo,-22.2833,44.5167,72.03,46.0,35.0,5.23,,44.5167
tawkar,,,,,,,,
ust-tsilma,65.441,52.1498,43.59,80.0,36.0,4.94,,52.1498
thano bula khan,,,,,,,,
podbelsk,,,,,,,,
nishihara,26.1842,127.7558,77.5,89.0,75.0,13.8,,127.7558
soe,-9.8607,124.284,62.51,90.0,45.0,4.38,,124.284
surgut,61.25,73.4167,44.6,81.0,0.0,8.95,,73.4167
bathsheba,13.2167,-59.5167,82.4,61.0,40.0,21.85,,-59.5167
oussouye,12.485,-16.5469,77.32,69.0,66.0,8.55,,-16.5469
ginda,30.6945,78.4932,55.15,61.0,10.0,7.7,,78.4932
kisangani,0.5167,25.2,71.2,91.0,11.0,1.74,,25.2
port blair,11.6667,92.75,84.18,75.0,90.0,2.3,,92.75
rabo de peixe,37.8,-25.5833,64.4,94.0,75.0,8.05,,-25.5833
provo,40.2338,-111.6585,78.1,11.0,40.0,3.44,,-111.6585
saravan,39.7196,45.6483,69.8,35.0,39.0,11.5,,45.6483
bitung,1.4451,125.1824,75.2,94.0,20.0,1.14,,125.1824
nouakchott,18.0858,-15.9785,69.8,78.0,0.0,18.41,,-15.9785
jahrom,,,,,,,,
maragogi,-9.0122,-35.2225,76.68,76.0,75.0,8.55,,-35.2225
nestorion,,,,,,,,
okhotsk,59.3833,143.3,36.12,97.0,100.0,19.71,,143.3
pedasi,7.5333,-80.0333,79.0,99.0,100.0,12.35,,-80.0333
okha,53.5739,142.9478,38.57,96.0,100.0,17.18,,142.9478
jiddah,,,,,,,,
smithers,54.7804,-127.1743,53.6,58.0,90.0,3.78,,-127.1743
yeppoon,-23.1333,150.7333,51.8,62.0,0.0,7.02,,150.7333
ilulissat,69.2167,-51.1,35.6,75.0,20.0,8.05,,-51.1
chifeng,42.2683,118.9636,56.43,33.0,100.0,5.84,,118.9636
jumla,29.2747,82.1838,49.96,73.0,7.0,3.67,,82.1838
saldanha,-33.0117,17.9442,57.2,94.0,55.0,11.5,,17.9442
sur,22.5667,59.5289,88.47,52.0,5.0,10.98,,59.5289
galle,6.0367,80.217,81.82,82.0,100.0,12.08,,80.217
nagato,34.3833,131.2,66.02,88.0,75.0,5.75,,131.2
broome,42.2506,-75.833,65.71,30.0,75.0,8.05,,-75.833
shingu,33.7333,135.9833,65.64,98.0,100.0,5.99,,135.9833
sena madureira,-9.0656,-68.6569,84.7,62.0,93.0,2.3,,-68.6569
hofn,64.2539,-15.2082,38.64,57.0,100.0,18.41,,-15.2082
camopi,3.1655,-52.3158,73.89,98.0,95.0,3.83,,-52.3158
kutum,14.2,24.6667,78.26,6.0,3.0,9.01,,24.6667
zambezi,-13.5432,23.1047,62.19,58.0,12.0,2.21,,23.1047
vila,42.0304,-8.1588,57.0,95.0,100.0,14.0,,-8.1588
kamenskoye,,,,,,,,
zaysan,47.4667,84.8667,54.55,47.0,1.0,7.18,,84.8667
sabaudia,41.3003,13.0282,58.68,80.0,68.0,1.99,,13.0282
cidreira,-30.1811,-50.2056,61.95,77.0,1.0,5.93,,-50.2056
caravelas,-17.7125,-39.2481,72.05,69.0,44.0,6.17,,-39.2481
altay,47.8667,88.1167,53.29,44.0,10.0,4.79,,88.1167
pfullendorf,47.9167,9.25,45.61,98.0,100.0,8.99,,9.25
sao jose da coroa grande,-8.8978,-35.1478,76.95,76.0,51.0,9.22,,-35.1478
smirnykh,49.75,142.8333,44.17,94.0,93.0,4.54,,142.8333
broken hill,-31.95,141.4333,41.0,75.0,90.0,6.96,,141.4333
codrington,-38.2667,141.9667,49.42,87.0,100.0,8.84,,141.9667
samagaltay,50.6022,95.0047,43.0,59.0,31.0,1.83,,95.0047
kijang,35.2442,129.2139,68.0,94.0,90.0,13.8,,129.2139
rudnichnyy,59.617,52.4703,61.92,85.0,100.0,5.55,,52.4703
saskylakh,71.9167,114.0833,9.61,94.0,100.0,8.03,,114.0833
haines junction,60.7522,-137.5108,44.6,70.0,100.0,3.44,,-137.5108
dolbeau,,,,,,,,
koslan,63.4564,48.8989,54.9,72.0,100.0,5.14,,48.8989
ambilobe,-13.2,49.05,71.42,78.0,2.0,4.79,,49.05
noumea,-22.2763,166.4572,75.54,94.0,75.0,4.61,,166.4572
catuday,16.2923,119.8062,81.77,73.0,79.0,9.33,,119.8062
bahia blanca,-38.7196,-62.2724,65.25,39.0,100.0,5.06,,-62.2724
shar,49.5886,81.0453,52.9,71.0,0.0,1.48,,81.0453
veraval,20.9,70.3667,87.12,61.0,100.0,15.05,,70.3667
south lake tahoe,38.9332,-119.9844,50.11,62.0,90.0,6.91,,-119.9844
galiwinku,,,,,,,,
boguchany,58.3814,97.4531,29.43,95.0,62.0,4.34,,97.4531
la teste-de-buch,44.6287,-1.1406,57.2,94.0,90.0,5.75,,-1.1406
mar del plata,-38.0023,-57.5575,64.87,52.0,0.0,6.91,,-57.5575
anloga,5.7947,0.8973,84.2,79.0,40.0,8.05,,0.8973
anadyr,64.75,177.4833,41.0,75.0,0.0,2.24,,177.4833
darhan,49.4867,105.9228,47.28,48.0,13.0,2.77,,105.9228
bargal,,,,,,,,
hisor,38.525,68.5512,62.6,51.0,40.0,4.47,,68.5512
margate,51.3813,1.3862,49.55,81.0,91.0,1.99,,1.3862
bolungarvik,,,,,,,,
bayji,34.9311,43.487,85.15,13.0,0.0,7.63,,43.487
nizhneyansk,,,,,,,,
althofen,46.8818,14.4676,53.42,71.0,75.0,5.75,,14.4676
byron bay,-28.65,153.6167,48.88,54.0,0.0,9.22,,153.6167
grindavik,63.8424,-22.4338,44.6,57.0,0.0,12.66,,-22.4338
husavik,66.0449,-17.3389,37.4,65.0,90.0,10.36,,-17.3389
hurghada,27.2574,33.8129,86.0,14.0,0.0,12.66,,33.8129
carauari,-4.8828,-66.8958,79.48,94.0,74.0,2.01,,-66.8958
hasaki,35.7333,140.8333,63.19,88.0,75.0,10.36,,140.8333
beidao,34.5686,105.8933,48.85,82.0,100.0,2.13,,105.8933
moissala,8.3404,17.7663,75.58,81.0,100.0,6.62,,17.7663
port augusta,-32.5,137.7667,50.68,76.0,90.0,6.91,,137.7667
santa rosa,14.3122,121.1114,83.35,74.0,20.0,2.3,,121.1114
madinat sittah uktubar,29.8167,31.05,76.41,46.0,0.0,11.5,,31.05
nalut,30.3333,10.85,76.59,30.0,0.0,15.97,,10.85
adrar,20.5022,-10.0711,88.21,13.0,40.0,6.93,,-10.0711
aksu,41.1231,80.2644,51.84,64.0,80.0,5.79,,80.2644
natitingou,10.3042,1.3796,75.94,77.0,100.0,2.66,,1.3796
