City,lat,long,temp,humidity,cloudiness,windspeed
havre-saint-pierre,50.2334,-63.5986,46.4,66.0,75.0,6.91
taber,49.8167,-112.1518,58.96,77.0,97.0,14.97
eyl,7.9803,49.8164,82.27,73.0,100.0,21.92
ancud,-41.8697,-73.8203,45.77,100.0,90.0,4.61
saint-philippe,-21.3585,55.7679,70.56,78.0,20.0,5.75
albany,42.6001,-73.9662,62.24,34.0,40.0,5.75
inhambane,-23.865,35.3833,66.78,77.0,0.0,5.26
belushya guba,,,,,,
tuktoyaktuk,69.4541,-133.0374,23.0,74.0,75.0,18.41
bambanglipuro,-7.95,110.2833,78.62,83.0,98.0,6.04
geraldton,-28.7667,114.6,68.0,56.0,75.0,14.97
avarua,-21.2078,-159.775,80.6,83.0,75.0,3.44
san quintin,30.4833,-115.95,65.93,68.0,16.0,15.01
batagay,67.6333,134.6333,40.64,44.0,100.0,6.67
port augusta,-32.5,137.7667,53.89,71.0,75.0,9.22
plettenberg bay,-34.0527,23.3716,57.83,84.0,0.0,3.18
chokurdakh,70.6333,147.9167,15.57,88.0,64.0,1.72
hermanus,-34.4187,19.2345,57.0,82.0,0.0,1.01
bacuit,,,,,,
miragoane,18.4423,-73.0876,81.23,75.0,30.0,2.84
nikolskoye,59.7035,30.7861,57.42,58.0,0.0,11.18
hobart,-42.8794,147.3294,47.05,61.0,20.0,16.11
abu dhabi,24.4667,54.3667,80.6,94.0,1.0,3.44
port elizabeth,-33.918,25.5701,53.6,87.0,0.0,4.61
farafangana,-22.8167,47.8333,71.22,86.0,48.0,1.1
alofi,-19.0595,-169.9187,78.8,83.0,75.0,12.66
ussel,45.55,2.3167,46.99,92.0,97.0,1.01
yellowknife,62.456,-114.3525,30.43,86.0,90.0,19.57
gambela,8.25,34.5833,71.44,94.0,93.0,2.86
sao joao da barra,-21.6403,-41.0511,68.04,82.0,55.0,10.69
filadelfia,39.9523,-75.1638,65.44,23.0,40.0,4.61
kapaa,22.0752,-159.319,80.02,57.0,20.0,17.27
sola,-13.8833,167.55,84.2,84.0,90.0,10.09
cidreira,-30.1811,-50.2056,58.26,65.0,4.0,3.0
zhenjiang,32.2092,119.4342,70.0,98.0,100.0,1.01
punta arenas,-53.15,-70.9167,39.2,87.0,0.0,4.61
samarai,-10.6167,150.6667,83.5,75.0,4.0,10.83
flinders,-34.5833,150.8552,60.19,52.0,0.0,8.99
artyk,,,,,,
west helena,34.5507,-90.6418,68.9,35.0,1.0,10.36
ichhawar,23.0167,77.0167,83.14,34.0,5.0,0.92
kuala terengganu,5.3302,103.1408,78.42,94.0,20.0,3.44
ribeira grande,38.5167,-28.7,64.27,95.0,86.0,11.92
coroiesti,46.25,27.4833,55.4,82.0,40.0,12.66
tiksi,71.6872,128.8694,30.49,89.0,100.0,5.99
broome,42.2506,-75.833,59.0,31.0,1.0,10.36
graaff-reinet,-32.2522,24.5308,66.0,31.0,0.0,3.0
jamestown,42.097,-79.2353,57.2,33.0,1.0,5.75
sorong,-0.8833,131.25,80.92,84.0,39.0,5.08
pangnirtung,66.1451,-65.7125,28.4,93.0,90.0,13.8
biala podlaska,52.0324,23.1165,52.88,98.0,88.0,6.06
a,,,,,,
talnakh,69.4865,88.3972,23.27,93.0,61.0,10.33
koslan,63.4564,48.8989,58.84,72.0,40.0,5.3
taolanaro,,,,,,
caramay,10.1815,119.236,84.47,73.0,86.0,6.64
wenatchee,47.4235,-120.3103,77.31,27.0,1.0,5.75
wanaka,-44.7,169.15,49.87,61.0,93.0,7.76
saskylakh,71.9167,114.0833,27.9,91.0,99.0,2.59
dicabisagan,17.0818,122.4157,84.34,67.0,40.0,3.6
izumo,35.3667,132.7667,68.0,83.0,75.0,2.3
georgetown,5.4112,100.3354,79.02,94.0,20.0,5.12
lompoc,34.6391,-120.4579,60.73,72.0,12.0,10.36
new norfolk,-42.7826,147.0587,43.9,82.0,80.0,1.99
torbay,47.6666,-52.7314,43.39,70.0,40.0,14.97
pisco,-13.7,-76.2167,66.54,88.0,5.0,5.75
simplicio mendes,-7.8539,-41.9103,81.41,53.0,82.0,9.69
khatanga,71.9667,102.5,24.31,94.0,99.0,3.85
upernavik,72.7868,-56.1549,32.79,81.0,100.0,8.52
mahebourg,-20.4081,57.7,77.0,73.0,20.0,10.36
hirara,24.8,125.2833,80.6,89.0,40.0,12.66
marawi,7.9986,124.2928,81.0,86.0,93.0,1.21
makakilo city,21.3469,-158.0858,80.53,48.0,20.0,10.36
safaga,26.7292,33.9365,80.6,14.0,0.0,10.36
iqaluit,63.7506,-68.5145,28.2,80.0,90.0,11.5
hasaki,35.7333,140.8333,67.98,82.0,40.0,6.91
castro,-24.7911,-50.0119,49.1,90.0,14.0,2.62
lagoa,39.05,-27.9833,63.43,93.0,100.0,18.52
atar,20.5169,-13.0499,83.12,14.0,0.0,10.25
farrukhnagar,17.0778,78.2011,79.95,94.0,75.0,4.61
nizhnevartovsk,60.9344,76.5531,30.2,86.0,0.0,4.03
maloy,61.9353,5.1136,48.85,81.0,75.0,1.14
tumannyy,,,,,,
nanortalik,60.1432,-45.2371,41.11,67.0,100.0,3.69
bentiu,9.2333,29.8333,81.14,60.0,6.0,3.89
weinan,34.5036,109.5089,68.0,83.0,40.0,15.66
bengkulu,-3.8004,102.2655,76.86,88.0,100.0,2.8
mezhdurechensk,53.6942,88.0603,48.94,86.0,29.0,1.7
ust-koksa,50.2696,85.6108,43.83,81.0,93.0,2.68
esperance,-33.8667,121.9,51.8,93.0,90.0,1.14
manaus,-3.1019,-60.025,77.92,89.0,75.0,1.14
san cristobal,7.7669,-72.225,84.2,70.0,40.0,6.91
pevek,69.7008,170.3133,29.25,86.0,73.0,8.97
kodiak,57.79,-152.4072,46.4,76.0,90.0,10.36
santa cruz,-17.8,-63.1667,64.0,71.0,57.0,3.44
dunayivtsi,,,,,,
narsaq,60.9167,-46.05,46.4,29.0,40.0,9.22
mumbwa,-14.9783,27.0619,56.05,70.0,8.0,4.65
yulara,-25.2406,130.9889,57.2,77.0,0.0,10.36
heze,35.2431,115.4411,67.1,89.0,100.0,7.43
revelstoke,50.9832,-118.2023,71.6,35.0,1.0,9.22
camacupa,-12.0167,17.4833,54.95,68.0,1.0,3.74
hofn,64.2539,-15.2082,38.39,67.0,85.0,6.87
norman wells,65.282,-126.8329,41.0,60.0,75.0,20.71
ahipara,-35.1667,173.1667,64.4,68.0,92.0,12.82
ilulissat,69.2167,-51.1,35.6,69.0,90.0,4.61
barentsburg,,,,,,
butaritari,3.0707,172.7902,82.08,79.0,26.0,12.77
ponta do sol,32.6667,-17.1,60.13,68.0,20.0,16.11
mount gambier,-37.8333,140.7667,53.6,71.0,40.0,10.36
bama,11.5221,13.6856,89.47,35.0,99.0,12.46
nanakuli,21.3906,-158.1547,79.14,48.0,20.0,10.36
uchiza,-8.4592,-76.4633,72.05,93.0,52.0,2.57
buchanan,5.8808,-10.0467,78.8,83.0,75.0,8.23
port lincoln,-34.7333,135.8667,58.48,69.0,91.0,13.42
kyra,49.5776,111.9753,39.43,39.0,62.0,18.95
comodoro rivadavia,-45.8667,-67.5,51.8,58.0,0.0,11.5
atuona,-9.8,-139.0333,79.52,79.0,20.0,19.33
port macquarie,-31.4333,152.9167,64.45,62.0,0.0,1.01
mehran,33.1222,46.1646,66.2,34.0,0.0,4.61
carballo,43.213,-8.691,44.74,93.0,81.0,2.82
the valley,18.217,-63.0578,79.52,74.0,20.0,11.5
bridgetown,13.1,-59.6167,80.6,61.0,40.0,14.97
svetlogorsk,52.6333,29.7333,49.84,87.0,100.0,11.5
cherskiy,68.75,161.3,33.75,85.0,79.0,4.94
khipro,25.8285,69.3772,81.93,64.0,0.0,16.93
attawapiskat,,,,,,
cayenne,4.9333,-52.3333,79.48,94.0,38.0,8.97
taoudenni,22.6783,-3.9836,91.53,7.0,0.0,6.78
cabo san lucas,22.8909,-109.9124,91.47,31.0,1.0,11.5
vila velha,-20.3297,-40.2925,71.8,73.0,20.0,11.5
shiyan,32.6475,110.7781,68.81,95.0,100.0,2.77
kindu,-2.95,25.95,69.82,88.0,6.0,2.98
faanui,-16.4833,-151.75,81.9,77.0,88.0,18.03
tsihombe,,,,,,
coquimbo,-29.9533,-71.3436,57.2,88.0,0.0,6.91
ekuvukeni,-28.4675,30.1551,53.06,34.0,0.0,3.15
huarmey,-10.0681,-78.1522,67.84,82.0,5.0,7.45
chuy,-33.6971,-53.4616,52.36,75.0,60.0,4.9
kavadarci,41.4331,22.0119,55.4,71.0,40.0,2.3
iranshahr,27.2025,60.6848,83.98,14.0,22.0,3.31
chingirlau,51.095,54.0814,61.39,46.0,1.0,9.1
laguna,38.421,-121.4238,87.17,20.0,40.0,8.05
labuhan,-6.8844,112.2051,79.09,80.0,68.0,7.87
saint george,37.1041,-113.5841,93.29,7.0,1.0,11.5
awjilah,29.1081,21.2869,70.75,49.0,0.0,13.49
salalah,17.0151,54.0924,84.2,84.0,20.0,5.75
pareora,-44.4871,171.2132,48.0,79.0,2.0,4.0
college,64.8569,-147.8028,60.85,25.0,75.0,3.44
buenos aires,-34.6132,-58.3772,58.48,77.0,0.0,1.14
gari,59.4307,62.3497,57.67,70.0,73.0,5.99
husavik,66.0449,-17.3389,37.4,81.0,0.0,6.24
gizo,-8.103,156.8419,84.92,69.0,23.0,5.84
bud,39.447,-86.1758,63.45,27.0,75.0,5.75
los llanos de aridane,28.6585,-17.9182,62.51,68.0,0.0,18.41
bilma,18.6853,12.9164,92.07,9.0,45.0,8.52
bardiyah,31.7561,25.0865,66.85,79.0,0.0,6.08
airai,-8.9266,125.4092,65.8,66.0,55.0,4.59
susanville,40.4163,-120.653,81.09,12.0,1.0,11.5
rocha,-34.4833,-54.3333,49.5,80.0,88.0,3.87
nichinan,31.6,131.3667,69.8,88.0,75.0,3.44
naze,28.3667,129.4833,73.4,100.0,75.0,3.44
carahue,-38.7,-73.1667,48.2,100.0,75.0,1.36
bilibino,68.0546,166.4372,31.68,92.0,59.0,2.68
bluff,-46.6,168.3333,46.0,76.0,93.0,5.01
deep river,46.1001,-77.4995,68.0,26.0,1.0,5.46
tasiilaq,65.6145,-37.6368,33.8,51.0,19.0,8.05
nome,64.5011,-165.4064,50.16,71.0,1.0,8.05
candawaga,,,,,,
machilipatnam,16.1667,81.1333,84.2,94.0,40.0,9.95
thinadhoo,0.5333,72.9333,84.04,73.0,92.0,15.08
quatre cocos,-20.2078,57.7625,77.0,73.0,20.0,10.36
rawannawi,,,,,,
arraial do cabo,-22.9661,-42.0278,66.2,100.0,75.0,1.14
bambous virieux,-20.3428,57.7575,77.0,73.0,20.0,10.36
harper,4.375,-7.7169,79.75,78.0,12.0,7.2
agnibilekrou,7.1344,-3.2047,73.65,92.0,33.0,4.14
axente sever,46.1,24.2167,52.47,93.0,75.0,1.14
sao joao da ponte,-15.9292,-44.0078,66.49,40.0,1.0,3.44
kavaratti,10.5669,72.642,82.49,85.0,100.0,17.13
adre,13.4667,22.2,81.72,33.0,39.0,6.6
ust-karsk,52.7011,118.8077,45.54,74.0,68.0,4.54
bhagalpur,25.25,87.0,75.51,80.0,64.0,6.33
sandakan,5.8402,118.1179,78.42,94.0,20.0,2.3
maniitsoq,65.4167,-52.9,35.96,72.0,60.0,3.8
dingle,10.9995,122.6711,84.83,71.0,50.0,12.41
kuminskiy,58.6667,66.5667,51.55,60.0,26.0,5.12
yerbogachen,61.2767,108.0108,47.01,42.0,86.0,8.97
samalaeulu,,,,,,
juneau,58.3019,-134.4197,39.72,81.0,90.0,10.36
hithadhoo,-0.6,73.0833,82.54,78.0,100.0,14.65
obo,5.3998,26.4869,68.16,97.0,100.0,2.24
matara,5.9485,80.5353,77.99,89.0,100.0,9.44
luderitz,-26.6481,15.1594,68.05,36.0,0.0,2.53
sentyabrskiy,,,,,,
mukhen,48.1,136.1,58.57,62.0,37.0,7.2
amderma,,,,,,
port keats,-14.25,129.55,77.18,28.0,1.0,13.02
kaitangata,-46.2817,169.8464,51.01,57.0,37.0,10.33
longhua,23.6137,114.1919,83.71,76.0,41.0,2.51
llangefni,53.2556,-4.3106,49.41,93.0,95.0,2.3
estelle,29.8458,-90.1067,74.84,64.0,75.0,5.75
coahuayana,18.7333,-103.6833,86.0,54.0,40.0,11.5
qaqortoq,60.7167,-46.0333,46.4,29.0,40.0,9.22
gamba,-2.65,10.0,77.99,86.0,100.0,1.14
rameswaram,9.2833,79.3,86.2,67.0,100.0,15.59
hambantota,6.1241,81.1185,80.29,79.0,100.0,13.02
kaspiyskiy,45.3929,47.3707,64.76,76.0,1.0,10.89
mehamn,71.0357,27.8492,33.26,78.0,96.0,10.51
kasongo-lunda,-6.4667,16.8167,69.22,81.0,4.0,2.1
barotac viejo,11.0419,122.8522,84.58,73.0,41.0,14.2
herat,34.5,62.0,63.48,16.0,5.0,19.66
carnarvon,-24.8667,113.6333,64.4,77.0,2.0,9.22
olinda,-8.0089,-34.8553,73.4,88.0,75.0,8.05
makat,47.6469,53.3463,67.66,20.0,5.0,10.85
sidi ali,36.0998,0.4206,61.68,60.0,5.0,7.72
aklavik,68.2191,-135.0107,32.0,64.0,90.0,6.91
leningradskiy,69.3833,178.4167,34.03,92.0,90.0,0.18
seoul,37.5683,126.9778,67.42,73.0,96.0,4.61
west bay,19.3667,-81.4167,84.7,79.0,20.0,6.91
nizhneyansk,,,,,,
namatanai,-3.6667,152.4333,85.6,67.0,5.0,9.01
brewster,41.3973,-73.6171,63.57,21.0,1.0,5.75
maragogi,-9.0122,-35.2225,76.12,90.0,100.0,4.36
celestun,20.8667,-90.4,83.12,72.0,94.0,16.28
dikson,73.5069,80.5464,20.82,88.0,100.0,3.22
beringovskiy,63.05,179.3167,32.22,99.0,100.0,6.53
touros,-5.1989,-35.4608,75.2,94.0,40.0,2.3
takestan,36.0696,49.6959,55.4,71.0,0.0,2.3
taga,46.95,24.05,54.81,100.0,90.0,3.44
paamiut,61.994,-49.6678,38.75,75.0,100.0,11.1
axim,4.8699,-2.2405,79.77,86.0,7.0,6.93
kalakamati,-20.5929,27.3121,54.97,49.0,0.0,7.02
aykhal,66.0,111.5,37.26,88.0,100.0,8.12
port moresby,-9.4431,147.1797,82.4,83.0,75.0,9.22
tautira,-17.7333,-149.15,86.0,70.0,75.0,20.71
ixtapa,20.7,-105.2,82.2,78.0,1.0,11.5
tawau,4.2498,117.8871,77.0,94.0,20.0,3.44
manzil tamim,,,,,,
ponta delgada,37.7333,-25.6667,62.6,94.0,75.0,9.22
qaanaaq,77.484,-69.3632,32.18,84.0,100.0,8.16
souillac,-20.5167,57.5167,77.0,73.0,20.0,10.36
sicuani,-14.2694,-71.2261,45.12,68.0,46.0,3.33
half moon bay,37.4636,-122.4286,60.06,87.0,90.0,6.91
namibe,-15.1961,12.1522,76.78,61.0,2.0,3.89
gorontalo,0.5412,123.0595,83.5,75.0,77.0,3.27
prince rupert,54.3161,-130.3201,48.33,76.0,20.0,10.36
nsukka,6.8561,7.3927,78.8,94.0,75.0,2.55
sembe,1.6481,14.5806,69.26,98.0,93.0,2.21
chinhoyi,-17.3667,30.2,54.79,76.0,4.0,4.59
ita,-25.4833,-57.35,62.29,88.0,90.0,3.44
aguimes,27.9054,-15.4461,67.71,64.0,40.0,26.46
sao filipe,14.8961,-24.4956,74.34,77.0,39.0,4.16
tabou,4.423,-7.3528,79.3,80.0,6.0,6.62
general roca,-39.0333,-67.5833,53.6,76.0,0.0,5.3
saint-francois,46.4154,3.9054,47.64,93.0,75.0,2.3
betare oya,5.6,14.0833,67.44,98.0,94.0,1.59
mys shmidta,,,,,,
tuatapere,-46.1333,167.6833,46.0,76.0,80.0,5.01
teahupoo,-17.8333,-149.2667,86.0,70.0,75.0,20.71
poum,-20.2333,164.0167,77.41,74.0,27.0,17.13
muros,42.7762,-9.0603,47.07,93.0,76.0,4.72
kutum,14.2,24.6667,74.8,48.0,23.0,8.32
aybak,,,,,,
lasa,46.6166,10.7002,45.0,75.0,20.0,5.75
fare,-16.7,-151.0167,81.9,77.0,87.0,18.3
san pedro,14.35,121.0167,84.06,61.0,75.0,4.61
opuwo,-18.0607,13.84,60.31,37.0,3.0,4.29
araguaina,-7.1911,-48.2072,78.22,60.0,47.0,3.89
liverpool,53.4106,-2.9779,50.14,93.0,100.0,8.05
cockburn harbour,,,,,,
kitui,-1.367,38.0106,60.04,96.0,95.0,4.59
gorno-chuyskiy,,,,,,
usva,,,,,,
nazret,8.55,39.2667,66.52,55.0,7.0,1.19
cockburn town,21.4612,-71.1419,80.6,74.0,40.0,11.5
novyy urgal,51.0736,132.5642,52.18,71.0,99.0,1.92
hihifo,,,,,,
amparafaravola,-17.5833,48.2167,57.76,97.0,25.0,5.37
te anau,-45.4167,167.7167,51.82,66.0,93.0,5.97
guerrero negro,27.9769,-114.0611,68.76,58.0,37.0,19.08
taybad,34.74,60.7756,64.83,17.0,3.0,17.67
winona,43.9666,-91.7668,63.48,29.0,40.0,6.51
nioro,13.35,-15.75,79.45,51.0,14.0,10.69
mairana,-18.1167,-63.9333,52.2,95.0,93.0,0.54
necochea,-38.5473,-58.7368,54.0,95.0,93.0,1.99
ranong,9.9658,98.6348,77.0,94.0,0.0,1.14
xilagani,40.9833,25.4167,57.99,78.0,68.0,1.01
ishigaki,24.3448,124.1572,82.4,83.0,40.0,11.5
mayo,38.8876,-76.5119,62.28,36.0,75.0,4.61
bolshoye sorokino,,,,,,
berkovica,44.6156,18.4294,53.29,87.0,20.0,2.3
yamasaki,35.0,134.55,64.4,83.0,75.0,5.75
brae,60.3964,-1.353,44.6,87.0,75.0,10.36
micheweni,-4.9667,39.8333,77.65,79.0,100.0,12.55
bathsheba,13.2167,-59.5167,80.6,61.0,40.0,14.97
massakory,12.996,15.7293,91.6,31.0,47.0,6.73
tomatlan,19.9333,-105.25,89.53,44.0,17.0,8.86
parana,-31.732,-60.5238,55.62,84.0,100.0,5.66
balabac,7.9868,117.0645,85.17,72.0,100.0,14.41
palmas,-10.2128,-48.3603,78.8,73.0,0.0,4.61
berbera,10.4396,45.0143,88.9,56.0,48.0,8.63
minab,27.1467,57.0801,84.2,61.0,20.0,4.61
bur gabo,,,,,,
olafsvik,64.8945,-23.7142,40.64,68.0,27.0,3.22
vernon,50.2581,-119.2691,68.59,30.0,59.0,1.14
grand river south east,,,,,,
akropong,5.9746,-0.0854,82.4,83.0,40.0,8.05
victoria,22.2855,114.1577,82.27,82.0,64.0,1.01
stykkisholmur,65.0757,-22.7297,38.7,80.0,96.0,3.96
borba,-4.3878,-59.5939,74.3,97.0,84.0,1.79
moyale,3.5167,39.0584,65.82,79.0,84.0,6.55
sorsk,54.0033,90.2467,50.31,57.0,16.0,3.15
salinopolis,-0.6136,-47.3561,78.08,84.0,85.0,2.06
yatou,37.15,122.3833,63.66,67.0,100.0,7.63
itoman,26.1247,127.6694,79.81,94.0,40.0,9.22
fort wellington,6.4,-57.6,76.71,88.0,16.0,9.22
marystown,47.1666,-55.1483,40.01,80.0,37.0,17.72
byron bay,-28.65,153.6167,63.46,55.0,0.0,10.36
rawson,-43.3002,-65.1023,55.09,58.0,99.0,8.48
molde,62.7375,7.1591,46.4,87.0,90.0,8.05
florianopolis,-27.6146,-48.5012,61.18,88.0,0.0,1.14
kurumkan,54.3,110.3,41.83,54.0,85.0,2.93
dakar,14.6937,-17.4441,71.6,88.0,0.0,6.91
del rio,29.3627,-100.8968,81.63,44.0,1.0,10.36
khormuj,,,,,,
berlevag,70.8578,29.0864,34.7,78.0,100.0,14.85
riacho de santana,-13.6092,-42.9389,71.44,42.0,100.0,4.88
borogontsy,62.6683,131.1683,49.17,46.0,100.0,1.3
ereymentau,51.6199,73.1033,51.03,90.0,96.0,10.96
turukhansk,65.8167,87.9833,32.13,95.0,100.0,17.47
portsmouth,50.799,-1.0913,50.14,84.0,92.0,1.99
ambilobe,-13.2,49.05,67.78,91.0,69.0,3.31
chapeltown,53.4651,-1.4722,46.27,87.0,92.0,1.01
caxito,-8.5785,13.6643,77.0,88.0,40.0,3.44
takoradi,4.8845,-1.7554,79.45,87.0,27.0,6.78
rumuruti,0.267,36.5389,58.78,96.0,97.0,4.9
clyde river,70.4692,-68.5914,24.8,93.0,75.0,13.8
sangar,63.9242,127.4739,43.2,53.0,0.0,2.53
yankton,42.8711,-97.3973,69.8,32.0,20.0,19.57
quang ngai,15.1167,108.8,82.36,74.0,86.0,5.39
fomboni,-12.28,43.7425,81.46,71.0,100.0,13.58
shamary,57.3434,58.2199,57.81,63.0,1.0,2.62
iquique,-20.2208,-70.1431,62.6,82.0,0.0,8.05
grand-santi,4.25,-54.3833,73.27,98.0,71.0,2.53
montepuez,-13.1256,38.9997,62.29,98.0,55.0,4.16
vanino,49.0869,140.2543,49.78,72.0,96.0,3.91
ostrovnoy,68.0531,39.5131,38.64,96.0,94.0,9.04
katsuura,35.1333,140.3,68.65,77.0,20.0,5.75
belaya gora,68.5333,146.4167,27.57,86.0,92.0,2.66
margate,51.3813,1.3862,45.54,81.0,21.0,11.3
vuktyl,63.8567,57.3094,59.29,64.0,7.0,7.45
slevik,,,,,,
ghanzi,-21.5667,21.7833,56.71,32.0,0.0,5.17
dudinka,69.4058,86.1778,16.2,96.0,65.0,6.06
umea,63.8284,20.2597,51.22,82.0,0.0,5.75
aksarka,66.5606,67.7975,42.31,59.0,100.0,11.27
warrington,53.3925,-2.5802,49.35,93.0,100.0,8.05
mantua,45.1667,10.7833,54.3,93.0,55.0,1.99
teguise,29.0605,-13.564,66.2,77.0,20.0,21.85
saint-pierre,-21.3393,55.4781,69.8,78.0,20.0,5.75
mouzakion,,,,,,
denpasar,-8.65,115.2167,80.6,94.0,40.0,11.5
inirida,3.8653,-67.9239,73.98,96.0,73.0,0.96
bowen,-20.0167,148.2333,75.2,83.0,75.0,6.91
faya,18.3851,42.4509,71.6,28.0,40.0,11.5
vostok,46.4856,135.8833,60.66,39.0,14.0,8.16
kichera,55.9375,110.0997,45.12,49.0,20.0,4.52
nexo,55.0607,15.1306,51.8,66.0,76.0,6.91
dunedin,-45.8742,170.5036,52.0,59.0,19.0,30.0
ngunguru,-35.6167,174.5,60.01,84.0,90.0,3.0
presidente medici,-11.1753,-61.9014,74.17,82.0,87.0,2.39
lorengau,-2.0226,147.2712,85.17,73.0,15.0,8.84
concarneau,47.875,-3.9225,48.25,81.0,40.0,11.5
pedreira,-22.7419,-46.9014,61.95,82.0,20.0,14.97
lebu,-37.6167,-73.65,53.92,93.0,73.0,2.84
karamken,,,,,,
dzialdowo,53.2396,20.17,42.8,100.0,0.0,0.72
jambi,-1.6,103.6167,75.85,96.0,97.0,2.8
pahrump,36.2083,-115.9839,95.0,6.0,0.0,4.0
yichun,47.7,128.9,64.49,28.0,61.0,6.42
pimenteiras,-6.2453,-41.4192,81.45,54.0,78.0,9.15
panguna,-6.3164,155.4848,81.73,59.0,27.0,4.16
tambopata,-12.7333,-69.1833,74.71,71.0,80.0,2.04
saldanha,-33.0117,17.9442,53.6,82.0,0.0,6.04
sabha,27.0377,14.4283,82.15,21.0,78.0,11.9
warri,5.5167,5.75,75.87,93.0,87.0,1.39
carutapera,-1.195,-46.02,75.94,92.0,92.0,4.43
isangel,-19.55,169.2667,77.0,88.0,90.0,11.5
malakal,9.5334,31.6605,81.97,60.0,5.0,2.13
vila praia de ancora,41.811,-8.8526,54.39,87.0,75.0,3.44
coihaique,-45.5752,-72.0662,42.8,75.0,0.0,4.61
mogadishu,2.0371,45.3438,79.74,84.0,96.0,19.01
nabire,-3.3667,135.4833,82.67,79.0,100.0,1.52
rungata,,,,,,
mitu,1.1983,-70.1733,72.72,97.0,86.0,1.72
turkan,40.3639,50.215,57.2,94.0,29.0,4.61
changji,44.0167,87.3167,55.4,41.0,0.0,6.71
palmer,42.1584,-72.3287,66.38,22.0,40.0,3.44
besikduzu,41.052,39.2284,57.2,94.0,20.0,2.3
yeppoon,-23.1333,150.7333,69.8,37.0,0.0,4.61
astoria,46.1879,-123.8313,60.46,77.0,1.0,12.66
dovers,12.8833,-61.1833,80.6,78.0,75.0,9.22
sovetsk,55.0839,21.8785,48.6,95.0,100.0,5.41
doha,25.2867,51.5333,89.26,22.0,0.0,3.44
santa maria,-29.6842,-53.8069,50.0,93.0,0.0,1.14
zubtsov,56.1753,34.5894,43.84,96.0,49.0,5.59
tres passos,-27.4556,-53.9319,54.54,58.0,9.0,4.59
diego de almagro,-26.3667,-70.05,66.33,44.0,0.0,2.08
tekeli,44.83,78.8239,42.6,94.0,100.0,2.71
tankhoy,51.5528,105.1306,41.31,49.0,33.0,6.46
bokoro,12.3807,17.0568,92.41,23.0,77.0,4.65
zhangye,38.9342,100.4517,45.64,81.0,100.0,12.48
knysna,-34.0363,23.0471,53.6,94.0,0.0,4.61
salamiyah,35.0113,37.0532,63.18,55.0,0.0,5.5
sarankhola,22.3082,89.7897,76.44,92.0,52.0,1.34
inuvik,68.3499,-133.7218,39.2,48.0,100.0,9.22
varhaug,58.6147,5.6457,47.01,87.0,100.0,1.01
cheyenne,41.14,-104.8203,66.88,19.0,20.0,17.27
kropotkin,45.4375,40.5756,57.0,86.0,2.0,8.86
mokhsogollokh,61.4681,128.9203,49.08,39.0,49.0,3.96
